CISTABLENAME,CISCOLUMNNAME,CISSERVICE,CSISERVICE,CSISRVELMCLASS,CSISRVELMPROPNAME,CSISRVELMATTRNAME,DESCRIPTION,STATUS
MTN_MESHING,CreationDate,FRPVC,FRAME_RELAY_PURPLE,VERSION,,,"if ordersentdate is null, use this date",0
,CustCode,FRPVC,FRAME_RELAY_PURPLE,VERSION,CustHandle,,View Request V4,0
MTN_MESHING,EIR,FRPVC,FRAME_RELAY_PURPLE,Transport,,EIR,View Request V4,0
,EmailAddress,FRPVC,FRAME_RELAY_PURPLE,SiteContact,EmailAddress,,View Request V4,0
,FaxNumber,FRPVC,FRAME_RELAY_PURPLE,SiteContact,FaxNumber,,View Request V4,0
MTN_MESHING,LastModifDate,FRPVC,FRAME_RELAY_PURPLE,VERSION,OrdersentDate,,View Request V4,0
MTN_MESHING,LocalAccessConnectionUSID,FRPVC,FRAME_RELAY_PURPLE,Transport,,Local Access Connection USID,View Request V4,0
MTN_MESHING,LocalDLCI,FRPVC,FRAME_RELAY_PURPLE,Transport,,Local DLCI,View Request V4,0
,PostalCode,FRPVC,FRAME_RELAY_PURPLE,SiteInformation,PostalCode,,View Request V4,0
MTN_MESHING,PureLayer2Flag,FRPVC,FRAME_RELAY_PURPLE,,,,View Request V9,0
MTN_MESHING,PVCUSID,FRPVC,FRAME_RELAY_PURPLE,Transport,ID,,View Request V4,0
MTN_MESHING,RemoteAccessConnectionUSID,FRPVC,FRAME_RELAY_PURPLE,Transport,,Remote Access Connection USID,View Request V4,0
MTN_MESHING,RemoteDLCI,FRPVC,FRAME_RELAY_PURPLE,Transport,,Remote DLCI,View Request V4,0
MTN_MESHING,RemoteToLocalCIR,FRPVC,FRAME_RELAY_PURPLE,Transport,,Remote-to-Local CIR,View Request V4,0
MTN_MESHING,RemoteToLocalEIR,FRPVC,FRAME_RELAY_PURPLE,Transport,,Remote-to-Local EIR,View Request V4,0
,ServiceOrigin,FRPVC,FRAME_RELAY_PURPLE,,,,View Request V4,0
MTN_MESHING,ServiceStatus,FRPVC,ATM_PURPLE,,,,View Request V4,0
MTN_MESHING,ServiceSubStatus,FRPVC,ATM_PURPLE,,,,View Request V4,0
,SiteLastModifDate,FRPVC,FRAME_RELAY_PURPLE,SiteInformation,LastModifDate,,View Request V4,0
,StateCode,FRPVC,FRAME_RELAY_PURPLE,SiteInformation,Statecode,,View Request V4,0
,TelephoneNumber,FRPVC,FRAME_RELAY_PURPLE,SiteContact,TelephoneNumber,,View Request V4,0
MTN_MESHING,TransportType,FRPVC,FRAME_RELAY_PURPLE,Transport,,Transport Type,View Request V4,0
MTN_MESHING,S_Type,FRPVC,FRAME_RELAY_PURPLE,VERSION,ServiceID,,View Request V4,0
,ConnectionType,ATMPVC,ATM_PURPLE,Transport,,Connection Type (Main - Shadow),View Request V4,0
