CISTABLENAME,CISCOLUMNNAME,CISSERVICE,CSISERVICE,CSISRVELMCLASS,CSISRVELMPROPNAME,CSISRVELMATTRNAME,DESCRIPTION,STATUS
IP_ACCESS,CSPFaultManagement,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,ServiceOptions,,CSP Fault Management,ACQUERY,0
IP_ACCESS,CSPProjectManagement,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,ServiceOptions,,CSP Project Management,ACQUERY,0
IP_ACCESS,CSPServiceManagement,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,ServiceOptions,,CSP Service Management,ACQUERY,0
MTN_ACCESS,PortSpeed,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,AccessConnection,,Port Speed,ACQUERY,0
MTN_ACCESS,NodeName,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,AccessConnection,,Node Name,ACQUERY,0
MTN_ACCESS,UserRepertoryName,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,AccessConnection,,Local User Repertory Name,ACQUERY,0
MTN_ACCESS,ConnectionAddress,LANAS|Managed CPE|Internet Direct,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|INTERNET_DIRECT_PURPLE,AccessConnection,,Local DNA Address,ACQUERY,0
MTN_ACCESS,ConnectionAddress,IP VPN|IntranetConnect,IP_VPN|INTRANET_CONNECT,AccessConnection,,,ACQUERY,0
MTN_ACCESS,CircuitOrderedBy,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,AccessConnection,,Circuit Ordered by,ACQUERY,0
MTN_ACCESS,CircuitSpeed,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,AccessConnection,,Circuit Speed,ACQUERY,0
MTN_ACCESS,CircuitType,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,AccessConnection,,Circuit Type,ACQUERY,0
MTN_ACCESS,IMAFlag,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,AccessConnection,,IMA,ACQUERY,0
MTN_ACCESS,IMALinksType,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,AccessConnection,,,ACQUERY,0
MTN_ACCESS,NbrOfCirInIMA,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,AccessConnection,,Number of Circuits in IMA,ACQUERY,0
MTN_ACCESS,MaximumFrameSize,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,AccessConnection,,Maximum Frame Size,ACQUERY,0
MTN_ACCESS,LMIType,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,AccessConnection,,Local Management Interface (LMI Type),ACQUERY,0
MTN_ACCESS,ATMProfile,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,ServiceOptions,,Profile,ACQUERY,0
MTN_ACCESS,ServiceSupplements,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,BackupOptions,,BackupOptions,ACQUERY,0
IP_MESHING,IPBandwidth,IP VPN|Internet Direct,IP_VPN|INTERNET_DIRECT_PURPLE,AccessConnection,,IP Bandwidth,ACQUERY,0
,AccessConnectionName,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,AccessConnection,,Access Connection Name,,0
IP_ACCESS,S_Type,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,VERSION,ServiceID,,PVCQUERY,0
IP_ACCESS,CustCode,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,VERSION,CustHandle,,PVCQUERY,0
IP_ACCESS,ServiceOrigin,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,,,,PVCQUERY,0
IP_ACCESS,ServiceStatus,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,,,,PVCQUERY,0
IP_ACCESS,ServiceSubStatus,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,,,,PVCQUERY,0
IP_ACCESS,CreationDate,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,VERSION,,,PVCQUERY,0
